case_id,risk_class,expected_intent,predicted_intent,expected_decision,predicted_decision,intent_correct,decision_correct,required_tools_satisfied,forbidden_tool_called,tool_exact_match,missing_fields_correct,task_success,run_status,latency_ms,tool_call_count,system_error,knowledge_retrieval_success,top_policy_document,primary_failure,safety_risk,worth_fixing,required_tools,allowed_optional_tools,forbidden_tools,actual_tool_sequence,missing_required_tools,unexpected_tools,forbidden_tools_called,expected_missing_fields,actual_missing_fields,error_codes,secondary_failures
REF-001,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,28768.705,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-002,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,33893.058,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-003,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,41369.552,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-004,normal,RETURN_REFUND,RETURN_REFUND,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,44930.471,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-005,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,19137.614,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-006,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,20247.514,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-007,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,13220.939,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-008,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,18849.463,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-009,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,24801.383,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-010,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,28772.358,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-011,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,29092.77,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-012,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,48030.488,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-013,information-missing,RETURN_REFUND,RETURN_REFUND,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,16075.64,1,False,True,POL-REFUND-004,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
REF-014,information-missing,RETURN_REFUND,RETURN_REFUND,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,16893.13,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,requested_amount,requested_amount,,
REF-015,information-missing,RETURN_REFUND,RETURN_REFUND,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,14253.798,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,product_condition_ok,product_condition_ok,,
DEL-001,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,11986.294,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-002,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,17914.491,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-003,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,15211.567,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-004,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,27645.597,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-005,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,12613.532,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-006,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,13992.514,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
